Pavona's Pizza Joint, 32 Sand Run Rd, Akron, OH 44313, 330-515-7080
In & Out Express Pizza, 446 W Street Rd, Warminster, PA 18974, 215-876-3035
Roman Delight, 255 E Street Rd, Warminster, PA 18974, 215-398-4838
Fat Daddy's Taproom & Grille, 601 Pennsylvania Ave E, Warren, PA 16365, 814-313-6786
First In Pizza, 1751 Market St, Warren, PA 16365, 814-313-6006
NY Style Deli & Pizza, 338 Pennsylvania Ave W, Warren, PA 16365, 814-313-6025
West End Takeout, 1402 Pennsylvania Ave W, Warren, PA 16365, 814-313-6687
Aviva Brick Oven, 16099 Perry Hwy, Warrendale, PA 15086, 724-647-3489
Sir Pizza, 900 Commonwealth Dr, Warrendale, PA 15086, 724-764-4412
Il Pizzaiolo, 701 Warrendale Village Dr, Warrendale, PA 15086, 724-202-1107
Soprano's Pizza, 1380 Easton Rd , Warrington, PA 18976, 215-398-6456
Roma Pizza, 1103 N Main St, Warrington, PA 18976, 215-631-3091
Sal's Pizza & Steaks, 1111 Easton Rd , Warrington, PA 18976, 215-876-0305
Tj Smith's Restaurant & Bar, 1585 Easton Rd, Warrington, PA 18976, 215-876-0386
Fratelli Pizza & Restaurant, 112 Easton Rd, Warrington, PA 18976, 215-398-6121
Pizza On Main, 374 S Main St, Washington, PA 15301, 724-426-7588
DiCarlo's Pizza, 925 Jefferson Ave, Washington, PA 15301, 724-330-7288
Four Star Pizza, 860 Jefferson Ave, Washington, PA 15301, 724-314-4225
Olive Oil's Pizzeria & More, 315 Jefferson Ave, Washington, PA 15301, 724-952-4058
The Union Grill, 13 E Wheeling St, Washington, PA 15301, 724-305-2182
Uncle Koko's Wood Fired Pizzeria, 900 Wildflower Dr, Washington, PA 15301, 724-305-2642
The Luxury Box Sports Bar and Grille, 427 E Maiden St, Washington, PA 15301, 724-305-2565
Frankie I's Bar & Grill, 1180 Mapleview Dr, Washington, PA 15301, 724-305-2656
Osso's Original Pizza, 90 Henderson Ave, Washington, PA 15301, 724-305-2215
Walther's Hill House, 444 W Maiden St, Washington, PA 15301, 724-305-2645
New Wayne Pizza, 109 S Wayne Ave, Wayne, PA 19087, 610-981-2352
Vic & Deans Pizzeria Grill, 409 W Wayne Ave, Wayne, PA 19087, 610-850-0687
Sal's Pizzeria, 221 E Swedesford Rd, Wayne, PA 19087, 610-679-8285
Main Line Pizza, 233 E Lancaster Ave, Wayne, PA 19087, 610-601-2699
Bertucci's Brick Oven Pizza & Pasta, 523 W Lancaster Ave, Wayne, PA 19087, 610-293-1700
Vinnie's Pizza, 102 Lancaster Ave, Wayne, PA 19087, 484-451-7362
Spizzico Pizza, 440 Morris Rd, Wayne, PA 19087, 610-947-4550
HG Coal Fired Pizza, 500 Chesterbrook Blvd, Wayne, PA 19087, 484-746-5457
Christopher's A Neighborhood Place, 108 N Wayne Ave, Wayne, PA 19087, 610-679-8877
From The Boot Pizzeria, 134 North Wayne Ave, Wayne, PA 19087, 484-326-3957
Rize Pizza, 124 E Market St, West Chester, PA 19382, 484-880-4731
Sabatino's Grill, 901 E Boot Rd, West Chester, PA 19380, 610-854-8840
Enzo's Italian Eatery, 1400 Wilmington Pike, West Chester, PA 19382, 610-947-5540
Tonito's Pizza, 303 Boot Rd, West Chester, PA 19380, 484-202-6059
Saucey, 12 E Market St, West Chester, PA 19382, 610-364-5580
Pizza Peddler, 1177 Wilmington Pike, West Chester, PA 19382, 610-624-2040
Lenape Pizza, 1410 Lenape Rd, West Chester, PA 19382, 610-624-8762
La Forno Pizza, 701 W Nields St, West Chester, PA 19382, 610-486-5520
Tommy's Original Pizza, 1257 W Chester Pike, West Chester, PA 19382, 610-601-2720
Carmine's Pizzeria and Restaurant, 947 Paoli Pike, West Chester, PA 19380, 610-345-7906
Fox's Pizza Den, 5700 Homeville Rd, West Mifflin, PA 15122, 412-385-4470
The Pizza Company, 1711 Clairton Rd, West Mifflin, PA 15122, 412-693-6889
Pizza Bistro, 3912, 1625 Pennsylvania Ave, West Mifflin, PA 15122, 412-314-2826
Pittzarella, 4935 Homeville Rd, West Mifflin, PA 15122, 412-385-4917
Boondas Hometown Pizza Shop, 5622 Homeville Rd, West Mifflin, PA 15122, 412-385-4864
Big Ragoo Pizzeria, 1806 Pennsylvania Ave, West Mifflin, PA 15122, 412-385-4612
Bellisario Pizza Shop, 1842 Homeville Rd, West Mifflin, PA 15122, 412-385-4304
Tony’s Al Taglio, 449 Penn Ave Rear Suite, West Reading, PA 19611, 610-601-3913
GNA Ristorante Pizzeria, 421 Penn Ave, West Reading, PA 19611, 610-854-9550
Nonno Alby's Brick Oven Pizza, 701 Penn Ave, West Reading, PA 19611, 610-601-3176
Georgio's Pizzeria, 500 Penn Ave, West Reading, PA 19611, 610-854-8299
Freedom Pizza & Deli, 10339 Perry Hwy, Wexford, PA 15090, 724-384-6072
Monte Cello's Pizza, 10441 Perry Hwy, Wexford, PA 15090, 724-257-4427
Pomodoro, 2572 Brandt School Rd, Wexford, PA 15090, 724-913-5217
Sir Pizza, 2624 Brandt School Rd, Wexford, PA 15090, 724-382-6423
Adrian's Pizza, 2562 Brandt School Rd, Wexford, PA 15090, 724-257-3048
Cenci's Pizzeria & Bar, 11530 Perry Hwy, Wexford, PA 15090, 724-790-2047
Mamma Lucia, 11978 Perry Hwy, Wexford, PA 15090, 724-215-9185
Twin Oaks Lounge, 1985 Lincoln Way, White Oak, PA 15131, 412-693-6259
Rockaway Pizzeria, 2401, 1955 Lincoln Way, White Oak, PA 15131, 412-744-3030
Veltre's Pizza & Sandwiches, 2812 State St, White Oak, PA 15131, 412-385-4615
Mama Pepino's Pizza, 2417 Oneil Blvd, White Oak, PA 15131, 412-385-4655
Palmer's Pizza, 2001 Lincoln Way, White Oak, PA 15131, 412-693-6730
Luciano's Restaurant, 1212 Long Run Rd, White Oak, PA 15131, 412-419-2401
Armando's Express Pizza, 1065 MacArthur Rd, Whitehall, PA 18052, 484-357-1870
The Burger Shack, 2011 N 1st Ave, Whitehall, PA 18052, 610-709-6485
Buca Di Beppo, 714 Grape Street, Whitehall, PA 18052, 610-264-3389
Joey G's Italian Kitchen, 1063 Grape St, Whitehall, PA 18052, 610-686-8681
Ferrara's Pizzeria, 2407 Mickley Ave, Whitehall, PA 18052, 610-686-8847
Charles Pizza & Restaurant, 1190 Mickley Rd, Whitehall, PA 18052, 610-686-8814
Palace Pizza Bar & Grill, 3690 Lehigh St #F, Whitehall, PA 18052, 610-686-8840
Angel's Pizza & Italian Restaurant, 5511 MacArthur Rd, Whitehall, PA 18052, 610-839-7435
The Dough Company, 570 Kidder St, Wilkes Barre, PA 18702, 570-852-2177
Whatinthe Sam Hill's Brick Oven Pizza, 100 George Ave, Wilkes Barre, PA 18705, 570-740-3213
Antonio's Pizza, 405 N River St, Wilkes Barre, PA 18702, 570-852-2294
Serpico Pizza, 230 E End Ctr, Wilkes Barre, PA 18702, 570-405-9645
Vino Dolce, 824 Sans Souci Pkwy, Wilkes Barre, PA 18706, 570-740-3165
Peppe's Pizza & Subs, 52 E Carey St, Wilkes Barre, PA 18705, 570-852-2415
Norm's Pizza & Eatery, 275 N Sherman St, Wilkes Barre, PA 18702, 570-740-3104
Ricci's Pizzeria, 155 Park Ave, Wilkes Barre, PA 18702, 570-740-3150
Januzzi's Pizza & Subs, 20 E Northampton St, Wilkes Barre, PA 18701, 570-740-3227
Frog Pond Pub & Pizzeria, 131 Coal St, Wilkes Barre, PA 18702, 570-740-3114
Franco's, 198 S Main St, Wilkes-Barre, PA 18701, 570-258-8948
Charlie B's Pub & Eatery, 653 N Main St, Wilkes-Barre, PA 18705, 570-822-4443
Liberty Pizza, 529 Scott St, Wilkes-Barre, PA 18702, 570-405-9848
Aldo's Pizzeria & Restaurant, 1161 PA-315, Wilkes-Barre, PA 18702, 570-405-9898
Pizza Bella Ashley, 782 Hazle St, Wilkes-Barre, PA 18706, 570-740-3036
Vesuvio's, 111 Main St, Wilkes-Barre, PA 18701, 570-852-2168
Dave Colarusso's, 105 West End Rd, Wilkes-Barre, PA 18706, 570-405-9513
Jerry's Place, 70 Hudson Rd #72, Wilkes-Barre, PA 18705, 570-405-8188
GiGio's Subs & More, 1325 N River St, Wilkes-Barre, PA 18702, 570-405-9937
Rodano's, 53 Public Square, Wilkes-Barre, PA 18701, 570-852-2175
Long Island Pizza, 435 Hepburn Street Plaza, Williamsport, PA 17701, 570-601-3463
Old School Pizza, 14 E 4th St, Williamsport, PA 17701, 570-701-8073
Vinnies' Italian Eatery, 44 W 4Th St, Williamsport, PA 17701, 570-701-8506
Joe's Pizza West End, 967 W 3rd St, Williamsport, PA 17701, 570-701-8624
The Stonehouse Wood Fired Pizza & Pasteria, 343 Pine St #2, Williamsport, PA 17701, 570-701-8859
Pudgie's of Williamsport, 1243, 2028 Lycoming Creek Rd, Williamsport, PA 17701, 570-473-5478
Venice Pizza, 1875 E 3rd St, Williamsport, PA 17701, 570-701-8895
Hoby's Hoagies & Pizza, 1229 W 4th St, Williamsport, PA 17701, 570-701-8325
Park Pizza, 1701 Memorial Ave, Williamsport, PA 17701, 570-701-8935
The Crazy Tomato, 1717 E 3rd St, Williamsport, PA 17701, 570-873-0203
Station Pizza II, 101 E Moreland Rd, Willow Grove, PA 19090, 215-659-0900
Emiliano's Pizza, 54 York Rd, Willow Grove, PA 19090, 215-337-4304
Giuseppe Pizza & Family Restaurant, 1200 N York Rd, Willow Grove, PA 19090, 215-659-4580
Nino's Pizzarama, 2819 Easton Rd, Willow Grove, PA 19090, 215-712-8254
Randazzo's Pizza, 3648 Welsh Rd, Willow Grove, PA 19090, 215-866-2002
Pizza Time Saloon, 1900 W Point Pike, Willow Grove, PA 19090, 215-631-8431
Carlos Pizza, 411 W Moreland Rd, Willow Grove, PA 19090, 215-273-9466
Sal's Pizza, 2600 Willow Street Pike N, Willow Street, PA 17584, 717-687-2331
House of Pizza, 2419 Willow Street Pike N, Willow Street, PA 17584, 717-537-0562
Caruso's Italian Restaurant & Pizzeria, 2933 Willow Street Pike , Willow Street, PA 17584, 717-537-0039
Sal's Pizza, 487 E Moorestown Rd #1, Wind Gap, PA 18091, 610-839-7404
Three Brothers Pizza & Restaurant, 501 E Moorestown Rd #8, Wind Gap, PA 18091, 610-839-7878
Original Doughboy's Pizza Restaurant, 230 W Moorestown Rd, Wind Gap, PA 18091, 610-839-7498
D'Arc's Pizza Shop, 2013 Graham Ave, Windber, PA 15963, 814-656-0552
Mimo's Pizza Company, 1332 Graham Ave, Windber, PA 15963, 814-656-0567
Bellas At Coal Heritage Center, 501 15th St, Windber, PA 15963, 814-656-0543
Fresca Pizza, 1000 Easton Rd, Wyncote, PA 19095, 215-515-5061
Main Street Pizzeria & Grille, 109 Greenwood Ave, Wyncote, PA 19095, 215-398-7694
Vinny's Pizza, 835 Glenside Ave #103, Wyncote, PA 19095, 215-774-3348
Angelo's, 1000 Wyoming Ave, Wyoming, PA 18644, 570-852-2309
Marianacci's, 252 W 8th St, Wyoming, PA 18644, 570-405-8062
Togoz Pizza, 310 Wyoming Ave, Wyoming, PA 18644, 570-908-4322
Little Italia Pizzeria, 1665 State Hill Rd, Wyomissing, PA 19610, 610-378-0900
Buca Di Beppo, 2745 Paper Mill Rd, Wyomissing, PA 19610, 610-374-3482
The Works In Wyomissing, 1109 Bern Rd, Wyomissing, PA 19610, 610-569-9526
Bella's Subs & Pizza, 1912 State Hill Rd, Wyomissing, PA 19610, 610-569-0993
Ray's 1 Pizza, 1665 State Hill Rd , Wyomissing, PA 19610, 610-601-3898
The Original Mama's Pizza & Grill, 1814 State Hill Rd, Wyomissing, PA 19610, 610-569-9722
Vince's Pizza & Restaurant, 25 S Main St, Yardley, PA 19067, 215-774-3337
Christine's Restaurant, 385 Oxford Valley Rd, Yardley, PA 19067, 215-458-2437
Carlucci's Express, 1593 Big Oak Rd, Yardley, PA 19067, 215-826-3317
Verrelli's Yardley Pizza, 20 S Main St, Yardley, PA 19067, 215-600-2201
Venezia Pizza, 672 Stony Hill Rd, Yardley, PA 19067, 215-447-7149
Villa Rosa Pizza & Restaurant, 661 Heacock Rd, Yardley, PA 19067, 215-447-7162
DeLorenzo's Tomato Pies, 1707 Yardley Langhorne Rd, Yardley, PA 19067, 215-929-8501
Brother's Pizza Spring Grove, 1000 Hanover Rd, York, PA 17408, 717-322-0765
Marisal's Pizza Shop, 1305 Mt Rose Ave, York, PA 17403, 717-429-0478
Pizza Boli's, 240 S George St, York, PA 17401, 717-850-9480
Marcello's Pizza, 17 Cinema Dr, York, PA 17402, 717-384-2331
Mexitaly Brick Oven Brewhouse, 2440 E Market St, York, PA 17402, 717-714-3165
Pizza By Alberto, 2736 S Queen St, York, PA 17403, 717-714-3116
Vincenzo's Place, 2509 S George St, York, PA 17403, 717-714-3502
Iron Horse York, 1 W Market St, York, PA 17401, 717-714-3553
Pizza Al Bacio, 555 Ryan Run Rd, York, PA 17404, 717-714-3264
Parma Pizza & Grill, 905 Grantley Rd, York, PA 17403, 717-714-3511
Mangia of Barrington, 296 County Rd, Barrington, RI 02806, 401-205-8399
Brickyard Pizza, 59 Maple Ave, Barrington, RI 02806, 401-205-8428
Barrington Pizzeria, 188 County Rd, Barrington, RI 02806, 401-340-2165
Pomodoro Pizzeria, 271 Wood St, Bristol, RI 02809, 401-200-4843
Wood Street Pizza & Bakery, 366 Wood St, Bristol, RI 02809, 401-200-4855
Nellos Pizza, 576 Metacom Ave #14, Bristol, RI 02809, 401-200-4403
Papa Joe's Wrap Shack, 567 Hope St, Bristol, RI 02809, 401-200-4926
House of Pizza, 55 State St, Bristol, RI 02809, 401-200-4688
Classic Pizza & Grill, 8518, 349 Metacom Ave, Bristol, RI 02809, 401-200-4867
The Wave, 400 Metacom Ave, Bristol, RI 02809, 401-200-4791
Leo's Ristorante, 365 Hope St, Bristol, RI 02809, 401-200-4918
K and S Pizza Restaurant, 469 Carolina Back Road, Charlestown, RI 02813, 401-337-7489
Charlestown Famous Pizza, 3986 Old Post Rd, Charlestown, RI 02813, 401-246-8572
Kingston Pizza, 4159 Old Post Rd, Charlestown, RI 02813, 401-324-1268
Aegean Pizza, 1195 Putnam Pike, Chepachet, RI 02814, 401-205-8464
Pinewood Pub & Pizza, 16 Terry Ln, Chepachet, RI 02814, 401-205-8830
DePetrillo's Pizza & Bakery, 1153 Putnam Pike, Chepachet, RI 02814, 401-205-8515
Westcott House, 1650 Nooseneck Hill Rd, Coventry, RI 2816, 401-329-2076
Santoros Pizza, 687 Tiogue Ave, Coventry, RI 02816, 401-250-8973
A. Pagliarini's, 637 Washington St, Coventry, RI 02816, 401-205-8935
Filippou's Twisted Pizza, 915 Tiogue Ave, Coventry, RI 02816, 401-329-9605
Silver Lake Pizza, 1146 Main St, Coventry, RI 02816, 401-279-0496
De Petrillo's Pizza & Bakery, 797 Tiogue Ave, Coventry, RI 02816, 401-320-4695
5 Herb Pizza, 500 Dyer Ave, Cranston, RI 02920, 401-519-7899
Tony's Pizza Palace, 531 Pontiac Ave, Cranston, RI 02910, 401-320-4656
Maria's Pizza & Wings Pawtuxet Village, 1860 Broad St, Cranston, RI 02905, 401-298-2437
Maria's Pizza & Wings, 949 Pontiac Ave, Cranston, RI 02920, 401-298-9697
New York Style Pizza, 152 Gansett Ave, Cranston, RI 02910, 401-942-6999
Napolitano's Brooklyn Pizza, 100 East St, Cranston, RI 02920, 401-592-3198
Boulevard Pizza, 1031 Narragansett Blvd, Cranston, RI 02905, 401-781-7777
Vasilio's Pizza, 579 Atwells Ave, Cranston, RI 02909, 401-320-4479
The Big Cheese & Pub, 606 Reservoir Ave, Cranston, RI 02910, 401-262-8006
Uncle Tony's Pizza & Pasta, 1455 Oaklawn Ave, Cranston, RI 02920, 401-262-8709
Crazy Pizza, 1702 Mendon Road, Cumberland, RI 02864, 401-305-1704
Ani's Pizza & Seafood, 1182 High St, Cumberland, RI 02864, 401-340-2913
Pizza Man of Cumberland, 87 Broad St, Cumberland, RI 02864, 401-205-8681
Angelo's Palace Pizza, 133 Mendon Road, Cumberland, RI 02864, 401-543-2148
Davenport's Restaurant, 1070 Mendon Road, Cumberland, RI 02864, 401-337-7460
Cumberland House of Pizza, 2360 Mendon Road, Cumberland, RI 02864, 401-337-8109
Supreme Pizza, 3450 Mendon Road D, Cumberland, RI 02864, 401-205-8317
Saki's Pizzeria, 2339 Diamond Hill Rd, Cumberland, RI 02864, 401-205-8516
Yovanis Pizzeria, 40 Macondray St, Cumberland, RI 02864, 401-205-8382
Ronzio Pizza & Subs, 5601 Post Rd, East Greenwich, RI 02818, 401-307-4179
The Trap, 195 Old Forge Rd, East Greenwich, RI 2818, 401-262-8825
Cobblestones Kitchen, 5641 Post Rd, East Greenwich, RI 02818, 401-246-8609
Pizza Heaven, 2554 S County Trail, East Greenwich, RI 02818, 401-320-4173
Frank & John From Italy, 186 Main St, East Greenwich, RI 02818, 401-329-9527
Four Brothers Pizzaria & Restaurant East Greenwich, 254 Old Forge Rd, East Greenwich, RI 02818, 401-329-9666
MidiCi Italian Kitchen, 75 Highland Ave, East Providence, RI 02914, 401-279-0456
Paquette's Family Restaurant, 315 Waterman Ave, East Providence, RI 02914, 401-214-6178
Boston House Of Pizza Inc, 540 Taunton Ave, East Providence, RI 2914, 401-753-3132
Pizza Amore, 2792 Pawtucket Ave, East Providence, RI 02914, 401-400-8173
Papa Sam's Pizza, 347 Warren Ave, East Providence, RI 02914, 401-214-6249
Townies, 324 Waterman Ave, East Providence, RI 02914, 401-250-8996
Davenport's, 1925 Pawtucket Ave, East Providence, RI 02914, 401-200-4859
MC's Pizza, 68 Taunton Ave, East Providence, RI 02914, 401-205-8432
Zoe's Pizza & Seafood, 1022 S Broadway, East Providence, RI 02914, 401-329-9671
Little Country Pizza, 349 Nooseneck Hill Rd, Exeter, RI 02822, 401-337-7528
Exeter Town Pizza, 250 S County Trail, Exeter, RI 02822, 401-329-9465
Effie Filippou's Twisted, 567 S County Trail #107, Exeter, RI 02822, 401-329-9543
Western Hotel & Pizza, 610 Douglas Turnpike, Harrisville, RI 02830, 401-205-8639
Nikos Pizza House, 216 Harrisville Main St, Harrisville, RI 02830, 401-205-8553
Elite Pizza & Restaurant II, Rhode Island 102, Harrisville, RI 02830, 401-205-8986
La Nuova Pizzeria, 1417 Atwood Ave, Johnston, RI 02919, 401-356-3085
Luigi's Restaurant & Gourmet Express, 1357 Hartford Ave, Johnston, RI 02919, 401-337-7531
Hometown Pizza & Subs, 620 Killingly St, Johnston, RI 02919, 401-205-8543
Uncle Tony's Pizza & Pasta, 46 Putnam Pike, Johnston, RI 02919, 401-205-8581
Expresso's Pizza Restaurant, 2949 Hartford Ave #3, Johnston, RI 02919, 401-340-2869
Famous Pizza, 2071 Plainfield Pike, Johnston, RI 02919, 401-250-8802
J Palmieri Pizzeria & Pub, 1999 Plainfield Pike, Johnston, RI 2919, 401-313-3270
Rosa Mia Pizza, 133 Greenville Ave, Johnston, RI 02919, 401-205-8588
Pizza Palace, 1583 Plainfield Pike, Johnston, RI 02919, 401-262-8593
This Guy's Pizza, 80 Greenville Ave, Johnston, RI 02919, 401-205-8590
Carmella's Pizzeria, 330 W Main Rd, Middletown, RI 02842, 401-329-3996
Aquidneck Restaurant & Pizzeria, 27 Aquidneck Ave, Middletown, RI 02842, 401-329-9472
Rocco's & Mia's Little Italy, 59 Aquidneck Ave, Middletown, RI 02842, 401-329-9569
Pizza Hollywood, 796 Aquidneck Ave, Middletown, RI 02914, 401-324-0626
Kingston Pizza, 659 W Main Rd, Middletown, RI 02842, 401-329-9597
Arturo Joe's, 140 Point Judith Rd, Narragansett, RI 02882, 401-329-9383
Turtle Soup Restaurant, 113 Ocean Rd, Narragansett, RI 02882, 401-324-1629
The Bike Stop Cafe, 148 Boon St, Narragansett, RI 02882, 401-329-9428
Casa Pizza, 855 Point Judith Rd, Narragansett, RI 02882, 401-337-7538
Colvitto's Pizza & Bakery, 91 Point Judith Rd, Narragansett, RI 02882, 401-329-9516
Kingston Pizza Point Judith, 120 Knowlesway Ext, Narragansett, RI 02882, 401-246-8751
Kingston Pizza, 961 Boston Neck Rd, Narragansett, RI 02882, 401-329-9574
Karma Pizza Company, 446 Thames St, Newport, RI 02840, 401-324-1180
Corner Cafe, 110 Broadway, Newport, RI 02840, 401-329-3997
Pasta Beach, 138 Bellevue Ave, Newport, RI 02840, 401-340-3062
Nikolas Pizza, 3302, 38 Memorial Blvd W, Newport, RI 02840, 401-889-2550
Surf Club, 337 Thames St, Newport, RI 02840, 401-329-9414
Lucia Italian Restaurant, 190B Thames St #186B, Newport, RI 02840, 401-329-9534
A1 Pizza, 306 Broadway, Newport, RI 02840, 401-329-9653
Mama Leone's, 266 Bellevue Ave, Newport, RI 02840, 401-329-9592
Providence Coal Fired Pizza, 6105 Post Rd, North Kingstown, RI 02852, 401-205-8416
Socrates Pizza, 7610 Post Rd, North Kingstown, RI 02852, 401-329-9327
Pier Pizza Co, 6667 Post Rd, North Kingstown, RI 02852, 401-320-4181
Four Brothers Pizzeria & Restaurant North Kingstown, 6921 Post Rd, North Kingstown, RI 02852, 401-279-0548
The Place, 95 Brown St, North Kingstown, RI 02852, 401-329-9448
NK Chicago Pizza, 7673 Post Rd, North Kingstown, RI 02852, 401-250-8993
Kingston Pizza, 677 Boston Neck Rd, North Kingstown, RI 02852, 401-329-2212
Kingston Pizza, 7415 Post Rd, North Kingstown, RI 02852, 401-236-7628
Filippou's Restaurant, 670 Ten Rod Rd, North Kingstown, RI 02852, 401-329-9546
Ronzio Pizza & Subs, 35 Smithfield Rd, North Providence, RI 02904, 401-274-3282
Mediterranean Pizza, 2220 Mineral Spring Ave, North Providence, RI 02911, 401-340-3377
Twin's Pizza, 1000 Mineral Spring Ave, North Providence, RI 02904, 401-250-8644
Zorba's Pizza & Pub, 1370 Mineral Spring Ave, North Providence, RI 02904, 401-205-8659
Tom's Kitchen, 1526 Smith St, North Providence, RI 02911, 401-205-8478
Wine & Cheese, 1861 Smith St, North Providence, RI 02911, 401-205-8531
Sammy's House of Pizza Restaurant, 1388 Mineral Spring Ave, North Providence, RI 02904, 401-205-8658
DePetrillo's Pizza & Bakery, 1755 Smith St, North Providence, RI 02911, 401-214-6239
Speedy Pizza, 2244 Mineral Spring Ave, North Providence, RI 02911, 401-205-8979
George's Pizza & Pub, 60 Pascoag Main St, Pascoag, RI 02859, 401-246-8608
Serio's Pizzarama, 405 Church St, Pascoag, RI 02859, 401-305-1976
Olympia Famous Pizza, 140 Pascoag Main St, Pascoag, RI 02859, 401-205-8408
Olly's Pizza, 148 Broad St, Pawtucket, RI 02860, 401-753-3508
Toti's Pizza & Grill, 622 Central Ave, Pawtucket, RI 02861, 401-262-8604
Five Corners Pizza, 11 Benefit St, Pawtucket, RI 02861, 401-307-5256
Newport Avenue Pizzeria, 1100 Newport Ave, Pawtucket, RI 02861, 401-753-3439
Pizza Works, 103 Newport Ave, Pawtucket, RI 02861, 401-722-4110
Natalie's Pizza, 1479 Newport Ave, Pawtucket, RI 02861, 401-753-3584
My Daddy's Pizza & Grille, 594 Pawtucket Ave, Pawtucket, RI 02860, 401-648-3775
The Hungry Goat's Kitchen, 881 Central Ave, Pawtucket, RI 02861, 401-200-3845
Arigna Irish Pub & Coal Fire Kitchen, 507 Armistice Blvd, Pawtucket, RI 02861, 401-246-8761
House of Pizza, 206 Division St, Pawtucket, RI 02860, 401-337-7539
Fieldstones, 980 E Main Rd, Portsmouth, RI 02871, 401-200-4887
Rocco's Little Italy, 880 E Main Rd, Portsmouth, RI 02871, 401-200-4902
West Main Pizza, 1620 W Main Rd, Portsmouth, RI 02871, 401-293-4369
North End Pizzeria, 3030 E Main Rd, Portsmouth, RI 02871, 401-307-4450
Martino's Pizzeria, 3001 E Main Rd, Portsmouth, RI 02871, 401-889-2768
Steve's Famous Pizza, 2460 E Main Rd, Portsmouth, RI 02871, 401-324-1357
Milano's Pizza, 659 Smith St, Providence, RI 02908, 401-682-7360
Big Tony's Pizza, 525 Eaton St, Providence, RI 02908, 401-415-6222
Vivaldi's Pizza, 1826 Broad St, Providence, RI 02905, 401-537-1203
Sicilia's Pizza, 181 Atwells Avenue, Providence, RI 02903, 401-825-0186
Piemonte Pizza & Grill, 114 Doyle Ave, Providence, RI 02906, 401-273-0999
NY Pizza, 1005 Smith St, Providence, RI 02908, 401-519-5036
Pizzeria Gusto, 259 Broadway, Providence, RI 02903, 401-648-6555
Mirano Grill & Pizza, 600 Douglas Ave, Providence, RI 02908, 401-351-1819
Napolitano's Brooklyn Pizza, 294 Atwells Ave, Providence, RI 02909, 401-246-8897
Meeting Street Cafe, 220 Meeting St, Providence, RI 02906, 401-519-5043
Rhodes Pizza & Restaurant, 3736 Pawtucket Ave, Riverside, RI 02915, 401-246-8624
East Providence House of Pizza, 187 Willett Ave, Riverside, RI 02915, 401-250-8645
Papa Pasquale's Pizzeria, 521 Bullocks Point Ave, Riverside, RI 02915, 401-246-8734
Town Pizza, 949 Willett Ave, Riverside, RI 02915, 401-205-8626
Twin River Pizza, 55 Douglas Pike, Smithfield, RI 02917, 401-830-3523
Biagio's Pizzeria, 970 Douglas Pike, Smithfield, RI 02917, 401-320-4311
Tony's Pizza, 200 Pleasant View Ave, Smithfield, RI 02917, 401-205-8201
De Petrillo's Pizza & Bakery, 105 Pleasant View Ave, Smithfield, RI 02917, 401-229-5536
Papa's Roast Beef & Pizza, 314 Waterman Ave, Smithfield, RI 02917, 401-205-8485
Famous Pizza, 433 Main Rd, Tiverton, RI 02878, 401-375-9247
Sabitado Pizzeria, 3129, 1204 Fish Rd, Tiverton, RI 02878, 401-200-4413
Classic Pizza, 496 Main Rd, Tiverton, RI 02878, 401-337-8085
Filippou's Twisted Pizza, 28 Old Tower Hill Rd, Wakefield, RI 02879, 401-329-9323
Pier Pizza Co, 328 Main St, Wakefield, RI 02879, 401-324-1165
Kingston Pizza, 1283 Kingstown Rd, Wakefield, RI 02879, 401-329-9482
Tony's Pizzeria & Restaurant, 1916 Kingstown Rd, Wakefield, RI 02879, 401-329-9587
Federal Hill Pizza, 495 Main S, Warren, RI 02885, 401-307-4867
Warren House of Pizza, 464 Main St, Warren, RI 02885, 401-337-7532
Perella's, 311 Metacom Ave, Warren, RI 02885, 401-337-7637
Balasco's Pizzeria, 254 Market St, Warren, RI 02885, 401-340-3098
Little John's Pizza, 625 Warwick Ave, Warwick, RI 02888, 401-519-7929
Ronzio Pizza & Subs, 2424 W Shore Rd, Warwick, RI 02889, 401-340-2584
Wings Heaven & Pizza, 701 Warwick Ave, Warwick, RI 02888, 401-489-7036
Shoreline Pizza, 745 W Shore Rd, Warwick, RI 02889, 401-298-9805
Ronzio Pizza & Subs, 422 Warwick Ave, Warwick, RI 02888, 401-429-6822
Bertucci's Brick Oven Pizza & Pasta, 1946 Post Rd, Warwick, RI 02886, 401-732-4343
The Catering Gourmet, 333 Strawberry Field Rd, Warwick, RI 02886, 401-426-4833
Grid Iron Ale House & Grill, 1599 Post Rd, Warwick, RI 02888, 401-753-4674
Three Filippou's Twisted Pizza, 1690 W Shore Rd, Warwick, RI 02889, 401-337-7542
Gigi's Pizza & Bar, 647 Main Ave, Warwick, RI 02886, 401-337-7450
Azo's Pizza, 250 Cowesett Ave, West Warwick, RI 02893, 401-304-9044
Fresco, 3233, 115 Cowesett Ave, West Warwick, RI 02893, 401-329-9321
Famous Pizza, 1738 Main St, West Warwick, RI 02893, 401-329-9393
Bill's Place Pizza, 707 Main St, West Warwick, RI 02893, 401-205-8337
Aloha Pizza, 126 Roberts St, West Warwick, RI 02893, 401-214-6235
Wicked Good Pizza, 291 Providence St, West Warwick, RI 02893, 401-250-8942
Donahues Pizza, 1207 Main St, West Warwick, RI 02893, 401-320-4942
